genre,filename,rms,zcr,centroid,flux,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,energy_label
blues,blues.00093.wav,0.06586,0.0216969831544856,570.3499042411772,0.81345505,58.72691761363637,-350.35263,169.53174,31.771353,16.71844,28.658941,19.246181,7.845076,10.037886,4.7406454,2.9217067,3.900229,1.8129543,-5.969145,Low
blues,blues.00087.wav,0.1579406,0.0508692388099381,1441.6808065190858,1.4356198,172.265625,-155.5764,125.66273,1.5785834,45.839695,0.9277813,25.383114,-10.812056,15.559012,-11.919289,1.2735376,-6.6728826,-0.78441757,-7.74382,High
blues,blues.00050.wav,0.18228516,0.0857906002271848,1945.2525228542231,1.3934809,135.99917763157896,-83.02948,107.10442,-25.338032,57.1057,0.0798359,34.69768,-11.060306,20.544289,-11.203026,14.825527,-10.235623,12.548191,-9.764642,High
blues,blues.00044.wav,0.13620916,0.0925253317140371,2279.031118649042,1.3274101,135.99917763157896,-109.53125,86.9288,-8.606026,64.480484,-6.302876,43.645935,-8.295386,28.543201,-14.081493,8.137968,-21.48412,11.087112,-5.095304,High
blues,blues.00078.wav,0.25799304,0.1238195149361948,2333.5524820822284,1.4823151,123.046875,-2.5430133,101.26548,-33.930927,41.52805,-13.817938,31.923836,-21.876541,24.47027,-15.8744135,15.808346,-14.370209,12.514341,-13.378112,High
blues,blues.00079.wav,0.27078366,0.1246824094885924,2442.941257538624,1.2927924,78.30255681818181,-3.5798953,92.929634,-25.082928,45.1795,-10.856173,31.863396,-18.04439,28.626354,-10.2277155,14.668069,-14.905226,14.741958,-15.603514,Medium
blues,blues.00045.wav,0.14828186,0.0480483100106341,1739.1187830723618,1.2795707,129.19921875,-163.24342,89.78384,12.974768,80.69835,3.663785,39.734093,-5.409266,26.490929,-13.169032,2.7055442,-20.547697,6.0114055,-2.906491,Medium
blues,blues.00051.wav,0.19659239,0.1066016531322505,1977.0957174136204,1.3061333,99.38401442307692,-55.631004,114.95141,-37.04922,64.900314,-7.1699824,15.256333,-16.24762,18.646315,-9.762152,21.460814,-5.662462,12.79181,-16.540878,Medium
blues,blues.00086.wav,0.124884635,0.0488186841405645,1245.6864186148605,1.6120434,123.046875,-212.79181,139.06325,9.446759,35.453796,12.697431,20.420671,-5.5826244,10.889944,-8.73331,8.059619,0.16372377,2.6487746,-1.0296488,Medium
blues,blues.00092.wav,0.063039556,0.0323115302349187,918.6809999781168,1.1769973,83.35433467741936,-332.2246,128.08926,28.80515,41.830193,31.214472,23.334787,5.7841125,9.001364,-3.8817165,3.731323,-0.87422895,-0.4391899,1.4851278,Low
blues,blues.00084.wav,0.23508118,0.113367350638051,2060.841879673532,1.4634148,112.34714673913044,-39.007614,112.05693,-31.819199,38.235607,-6.3202114,23.32046,-18.772533,23.93102,-10.932699,13.236961,-14.371819,13.3270645,-10.916337,High
